Model,Size,Length,GripWidth,Weight,WeightToSizeRatio
Cooler Master MM520,M,11.6,7.5,102,1.17
Cooler Master MM710,S,11.5,5.45,54,0.86
Cooler Master MM720,S,10.5,7.1,50,0.67
Corsair Glaive,XL,12.5,6.46,120,1.49
Corsair M65 RGB Elite,M,11.56,6.5,96,1.28
Corsair Scimitar,L,11.5,7.1,120,1.47
Cougar Revenger S,M,12.6,5.77,96,1.32
Dream Machines DM1 FPS,L,12.5,5.8,84,1.16
Ducky Feather,S,12.4,5.6,68,0.98
Endgame Gear XM1,M,12.1,5.6,71,1.05
Finalmouse Scream One,L,12.8,5.9,85,1.13
Finalmouse Starlight-12 M,M,12.1,5.67,46,0.67
Finalmouse Starlight-12 S,XS,11.5,5.35,41,0.67
Finalmouse Ultralight 2,XS,11.58,5.35,50,0.81
FinalMouse Ultralight Phantom,L,12.8,6,67,0.87
FinalMouse Ultralight Pro,L,12.8,6,71,0.92
G-Wolves HT-S Wireless,S,11.3,5.44,60,0.98
G-Wolves Hati M Classic,M,12.4,5.71,62,0.88
G-Wolves Hati S Ace,S,11.3,5.44,51,0.83
Glorious Model D,L,12.6,5.9,69,0.93
Glorious Model D-,M,11.8,5.8,62,0.91
Glorious Model O,M,12.8,5.68,68,0.94
Glorious Model O Wireless,M,12.8,5.68,69,0.95
Glorious Model O-,XS,12.05,5.35,58,0.90
Hyperx Pulsefire Core,M,11.8,5.76,94,1.38
Hyperx Pulsefire Haste,M,12.2,6.06,59,0.80
Hyperx Pulsefire Surge,M,12,5.9,104,1.47
Logitech G Pro,S,11.6,5.5,85,1.33
Logitech G Pro Wireless,M,12.5,5.9,80,1.08
Logitech G Pro X Superlight,M,12.5,5.9,60,0.81
Logitech G102,S,11.6,5.6,85,1.31
Logitech G203,S,11.6,5.6,85,1.31
Logitech G303,S,11.5,6.5,87,1.16
Logitech G304,S,11.5,5.55,89,1.39
Logitech G305,S,11.5,5.55,89,1.39
Logitech G403 Wireless,L,12.2,6.1,87,1.17
Logitech G403,L,12.2,6.1,87,1.17
Logitech G502,L,13,6.1,112,1.41
Logitech G604,L,13,6.3,128,1.56
Logitech G703,L,12.2,6.1,95,1.28
Logitech G900,L,13,5.5,107,1.50
Logitech G903,L,13.3,6.65,111,1.26
Microsoft Pro Intellimouse,XL,13.1,6.1,109,1.36
Mountain Makalu 67,L,12.5,6,66,0.88
Nixeus Revel,M,12.5,5.73,84,1.17
Razer Basilisk Ultimate,M,12.9,6.1,107,1.36
Razer Basilisk V2,L,12.9,6.1,96,1.22
Razer Basilisk X HyperSpeed,L,12.9,6.1,100,1.27
Razer DeathAdder Elite,L,12.5,6.2,97,1.25
Razer DeathAdder V2,XL,12.5,6.2,80,1.03
Razer DeathAdder V2 Mini,S,11.4,5.5,62,0.99
Razer DeathAdder V2 Pro,XL,12.5,6.2,87,1.12
Razer Mamba Elite,XL,12.5,6.36,100,1.26
Razer Mamba Wireless,XL,12.4,6.36,105,1.33
Razer Naga Trinity,L,11.78,7.2,118,1.39
Razer Orochi V2,S,10.6,5.97,72,1.14
Razer Viper,M,12.45,5.75,71,0.99
Razer Viper Mini,S,11.7,5.45,60,0.94
Razer Viper Ultimate,M,12.45,5.75,74,1.03
Roccat Burst Pro,M,12,5.7,68,0.99
Roccat Kain 122,L,12.5,6.1,92,1.21
Roccat Kain 202,L,12.5,6.1,106,1.39
Roccat Kone Aimo,XL,12.6,6.6,130,1.56
Roccat Kone EMP,XL,12.8,6.6,117,1.38
Roccat Kone Pure,L,12,7,90,1.07
Roccat Kone Pure Ultra,M,12,5.7,69,1.01
Steelseries Aerox 3,M,12,5.67,59,0.87
Steelseries Aerox 3 Wireless,M,12,5.67,68,1.00
Steelseries Kinzu V3,M,11.7,6.4,77,1.03
SteelSeries Rival 100,L,12.1,6.7,120,1.48
Steelseries Rival 110,M,12,5.67,91,1.34
Steelseries Rival 3,M,12,5.67,80,1.18
Steelseries Rival 3 Wireless,M,12,5.67,93,1.37
Steelseries Rival 310,M,12.5,5.75,92,1.28
Steelseries Rival 600,L,13,6.15,99,1.24
Steelseries Sensei 310,M,12.4,6,96,1.29
Steelseries Sensei Ten,L,12.4,5.88,94,1.29
Vaxee OUTSET AX,M,11.78,5.72,77,1.14
Vaxee ZYGEN NP-01,M,11.9,5.77,78,1.14
Xtrfy M4 RGB,M,12,5.62,70,1.04
Xtrfy M42 RGB,S,11.8,5.4,60,0.94
Xtrfy MZ1 - Zy's Rail,XS,11.1,5.25,57,0.98
Zowie EC1,XL,12.8,6.4,97,1.18
Zowie EC1-A,L,12.8,6.4,99,1.21
Zowie EC1-B,L,12.8,6.4,94,1.15
Zowie EC2,M,12.2,5.8,90,1.27
Zowie EC2-A,M,12,6.1,91,1.24
Zowie EC2-B,M,12,6.1,90,1.23
Zowie FK1,M,12.8,5.75,87,1.18
Zowie FK1+,L,12.8,6,94,1.22
Zowie FK1+-B,L,12.8,6,90,1.17
Zowie FK1-B,M,12.8,5.75,86,1.17
Zowie FK2,S,12.5,5.6,84,1.20
Zowie FK2-B,S,12.5,5.6,82,1.17
Zowie S1,M,12.3,5.76,92,1.30
Zowie S2,S,12,5.6,86,1.28
Zowie ZA11,L,12.8,5.8,90,1.21
Zowie ZA12,M,12.3,5.55,86,1.26
Zowie ZA13,S,12,5.4,84,1.30